customer_id,signup_date,risk_tier,credit_score,email,phone,state,income_bracket
CUST_00068,2021-09-17,low,818,qgreene@example.com,715-718-1112x053,VA,low
CUST_00069,2022-09-28,low,706,cpena@example.org,(274)245-1614x0842,MS,middle
CUST_00070,2022-12-23,low,733,phillipsmike@example.org,(476)522-1378x16456,CO,middle
CUST_00071,2020-01-23,low,688,ffisher@example.net,+1-851-508-6303x162,MN,middle
CUST_00072,2021-12-28,low,737,nvincent@example.org,820.957.0797,CA,middle
CUST_00073,2021-05-30,low,725,waltersstephen@example.org,+1-898-253-7574x487,NY,middle
CUST_00074,2020-09-19,low,792,hesssusan@example.org,579.880.3968x5808,RI,middle
CUST_00075,2020-03-28,low,768,valentineashley@example.com,(589)830-0518x320,GA,middle
CUST_00076,2021-10-20,low,810,chughes@example.org,742.933.1933x50009,OH,middle
CUST_00077,2019-05-13,medium,437,howelisa@example.net,+1-338-386-4592x39786,MO,middle
CUST_00078,2020-08-26,medium,591,ecruz@example.org,412.738.2044x8043,RI,low
CUST_00079,2020-04-14,medium,711,joann91@example.net,(626)724-9735x08282,GA,low
CUST_00080,2022-08-10,low,746,gloriaroberts@example.org,935-945-9050x85518,NM,middle
CUST_00081,2020-03-14,low,748,lauren77@example.net,001-574-983-1607x7377,MT,high
CUST_00082,2020-11-01,low,772,sanchezjeffrey@example.org,(345)373-2211x2584,NC,high
CUST_00083,2022-08-02,medium,619,millerrachael@example.com,+1-350-425-3251x74232,MN,low
CUST_00084,2021-01-29,low,773,stephaniethompson@example.com,857-655-2821x16991,KS,low
CUST_00085,2020-04-05,low,803,georgesilva@example.com,5407808959,WV,low
CUST_00086,2022-04-22,medium,680,millerangela@example.org,(494)708-8691x18888,MD,middle
CUST_00087,2019-02-01,medium,757,deborah13@example.com,001-367-971-5589x93876,ND,middle
CUST_00088,2019-04-18,low,745,john12@example.com,(674)237-4543,VA,middle
CUST_00089,2021-03-07,high,489,gouldjulie@example.org,257-996-4988x147,OH,low
CUST_00090,2019-08-20,low,727,nallen@example.com,788.533.6112x16487,AL,high
CUST_00091,2022-05-15,low,723,frobinson@example.com,3717565627,AK,low
CUST_00092,2021-11-07,low,801,ccrawford@example.com,001-489-307-8097x62480,HI,high
CUST_00093,2020-11-27,low,718,kirsten94@example.org,(916)685-4615x2314,CO,middle
CUST_00094,2021-05-25,low,651,johnsonedward@example.com,744-309-1800,HI,middle
CUST_00095,2019-05-27,low,748,jellis@example.com,001-979-340-3031x14838,OH,middle
CUST_00096,2020-01-16,medium,602,jerry51@example.org,612.487.5031x385,WV,middle
CUST_00097,2020-10-21,low,841,keith35@example.org,6318204516,OK,low
CUST_00098,2019-04-09,low,678,robertsonrachel@example.net,001-673-905-9184x32430,ID,middle
CUST_00099,2022-11-11,low,841,qcurry@example.net,+1-569-332-5888x59896,IN,low
CUST_00100,2019-02-23,medium,724,mglass@example.net,(941)810-4282,OH,middle
CUST_00101,2021-09-09,low,729,gperez@example.net,717.494.1844x081,MN,low
CUST_00102,2019-07-21,low,755,omoore@example.org,(468)215-1655,MT,middle
CUST_00103,2019-06-29,low,760,smithscott@example.org,802.339.1429x7987,MN,middle
CUST_00104,2019-09-17,low,721,rickycopeland@example.com,739.506.0768x50092,ND,low
CUST_00105,2021-01-11,low,755,jenniferstafford@example.com,510-964-3032x3842,KY,middle
CUST_00106,2020-12-04,low,759,randy64@example.org,+1-380-540-8304x9390,SC,low
CUST_00107,2021-09-15,medium,734,jacob92@example.org,(207)741-5126x71794,OH,low
CUST_00108,2022-10-21,medium,667,barbara60@example.com,001-539-482-9797x8147,ID,low
CUST_00109,2019-04-04,low,796,fernandezterrance@example.com,(403)817-0303x4451,ME,low
CUST_00110,2020-01-17,medium,782,sharon87@example.org,001-705-792-0671x0435,CA,middle
CUST_00111,2022-12-12,low,759,hreynolds@example.org,+1-725-847-9011x856,MI,low
CUST_00112,2019-08-19,low,816,bwagner@example.org,(684)735-0231x390,AZ,high
CUST_00113,2020-02-20,medium,612,earlwilliams@example.net,(201)835-9513x197,NY,middle
CUST_00114,2019-11-16,low,803,lauren98@example.org,(942)356-5446x559,MI,high
CUST_00115,2022-09-11,low,788,virginia54@example.com,682-970-3376,FL,low
CUST_00116,2020-03-12,low,690,melanie19@example.org,+1-408-502-2917,WI,low
CUST_00117,2021-03-10,low,627,smithamy@example.org,+1-776-982-6771x395,TN,middle
CUST_00118,2021-05-06,low,850,mccarthystephen@example.org,773-260-6688x1141,ND,middle
CUST_00119,2022-11-15,low,835,travisfoster@example.net,(827)358-9196x66842,MT,high
CUST_00120,2021-01-17,high,610,davistammy@example.com,601.365.0829,DE,middle
CUST_00121,2019-05-18,low,815,cherylcohen@example.org,+1-537-942-2313x8921,MT,middle
CUST_00122,2022-07-25,low,767,josephsherry@example.com,528-795-4551x03205,OH,middle
CUST_00123,2022-11-19,low,736,ericschroeder@example.org,+1-581-453-1171x12914,IN,middle
CUST_00124,2019-05-24,low,617,medinadavid@example.com,751.224.3775x28206,DE,middle
CUST_00125,2019-03-22,medium,570,arnoldjoseph@example.com,+1-995-386-8396x464,MO,high
CUST_00126,2020-10-09,medium,638,kanemichael@example.com,+1-419-565-7365x28848,MN,high
CUST_00127,2021-04-06,medium,742,marshallrebekah@example.com,356-289-6168,KY,low
CUST_00128,2022-07-30,medium,596,kellyvang@example.org,279.365.8772x763,WV,low
CUST_00129,2021-10-23,medium,783,kimdenise@example.net,+1-581-444-2595x014,KS,middle
CUST_00130,2019-06-25,low,720,qrogers@example.org,630.284.9659,MI,low
CUST_00131,2021-07-23,medium,815,albert97@example.net,446-403-5437,KY,low
CUST_00132,2021-12-23,high,608,sarachang@example.org,789.670.4941,KY,middle
CUST_00133,2020-02-06,low,806,sethschneider@example.org,001-808-478-5853,SD,high
CUST_00134,2021-03-16,low,755,timothyjones@example.org,+1-989-292-9413,HI,low
CUST_00135,2020-07-04,medium,497,josephrhodes@example.org,4549705316,MN,middle
CUST_00136,2020-06-27,low,745,pfischer@example.com,+1-707-744-0339x54172,PA,middle
CUST_00137,2021-09-26,low,772,erin30@example.com,(581)842-8470x8390,DE,low
CUST_00138,2021-05-10,low,699,karenlevy@example.com,(873)405-0827,FL,high
CUST_00139,2021-03-15,low,809,tshaffer@example.net,(598)549-0319x153,PA,middle
CUST_00140,2021-06-15,low,666,bwilliams@example.net,(774)969-8499x58401,WA,middle
CUST_00141,2020-12-12,low,752,ericasloan@example.net,(531)794-4375x196,AL,middle
CUST_00142,2021-04-02,low,723,kimberly99@example.org,001-963-742-1088x8536,FL,middle
CUST_00143,2022-09-18,low,706,andrew47@example.net,(861)456-1603,OR,middle
CUST_00144,2022-01-03,low,747,jessica53@example.net,636.221.5087,NV,low
CUST_00145,2021-09-21,high,675,jennyrogers@example.com,778-654-5032x4726,LA,low
CUST_00146,2020-09-15,medium,615,jamesbrown@example.org,(465)336-2556x881,CT,high
CUST_00147,2020-04-24,low,827,peteravila@example.com,+1-964-888-2129,UT,high
CUST_00148,2019-04-12,low,789,jason92@example.com,+1-852-714-4546,LA,middle
CUST_00149,2019-08-05,low,703,cartertracy@example.net,(619)586-8826,MI,middle
CUST_00150,2020-04-24,medium,654,andres60@example.com,001-640-507-5921x8933,OH,high
CUST_00151,2021-11-17,medium,765,ericksoncynthia@example.com,001-829-210-5681x5990,WY,middle
CUST_00152,2019-10-28,low,796,larsonlori@example.org,858.852.4274x680,NH,middle
CUST_00153,2020-03-14,medium,627,dzavala@example.org,+1-280-503-3052x05351,AK,low
CUST_00154,2022-01-08,medium,646,carl21@example.com,942.468.0721x92248,IA,low
CUST_00155,2022-01-07,low,681,rebekahsims@example.org,668.483.7064x471,AL,middle
CUST_00156,2020-02-25,low,745,ebates@example.com,001-833-435-9100x77339,NM,low
CUST_00157,2020-07-03,medium,730,bakerrachel@example.com,001-963-896-3735x875,MS,middle
CUST_00158,2021-10-05,low,732,douglassanchez@example.com,+1-500-848-2400x29931,MD,low
CUST_00159,2019-09-25,medium,685,ylopez@example.org,4522336854,NE,middle
CUST_00160,2019-04-14,medium,529,jademathews@example.net,739.265.3646x479,KY,middle
CUST_00161,2022-04-10,medium,684,brendaking@example.com,+1-211-762-6225x909,LA,high
CUST_00162,2020-03-08,medium,727,katherine06@example.org,(534)389-8500x45104,OK,middle
CUST_00163,2021-07-19,low,730,kathy01@example.net,575-458-4346x66004,AZ,middle
CUST_00164,2022-03-23,medium,642,chapmanrobert@example.com,(464)630-7406x7217,OK,middle
CUST_00165,2022-02-26,low,669,brenda34@example.net,717.823.2693x949,AZ,middle
CUST_00166,2022-07-18,low,768,laurenparrish@example.net,+1-240-440-2278,NV,low
CUST_00167,2022-12-19,high,699,yhinton@example.net,615.381.4087x738,WA,low
CUST_00168,2021-04-14,low,741,robertoevans@example.com,952-486-2353,NM,low
CUST_00169,2022-08-24,medium,620,julie03@example.org,988.788.7506,NV,middle
CUST_00170,2020-11-28,low,763,sbell@example.org,+1-276-800-7798x80293,PA,middle
CUST_00171,2021-07-24,low,831,owalker@example.net,+1-234-379-7367,NV,low
CUST_00172,2022-08-05,low,725,jamesstephanie@example.net,777.701.0960x4630,MO,middle
CUST_00173,2021-02-18,high,417,chris29@example.net,+1-677-465-8887x6270,NV,low
CUST_00174,2021-08-11,low,730,juliemathis@example.org,+1-404-291-9783x6238,WV,middle
CUST_00175,2020-10-09,medium,553,stephanierogers@example.net,+1-741-509-3946x8356,ND,high
CUST_00176,2022-01-31,low,692,wmercer@example.org,270.238.4335x99238,PA,low
CUST_00177,2019-08-27,medium,670,shaunbarnes@example.net,(515)734-9791x352,MO,middle
CUST_00178,2021-07-23,medium,720,javier46@example.org,878.638.1324,CA,middle
CUST_00179,2021-08-27,medium,572,laura36@example.com,993.424.2809,TX,middle
CUST_00180,2021-11-12,medium,630,elizabeth03@example.org,298.799.2435,VT,high
CUST_00181,2022-05-07,medium,706,davidgibbs@example.net,212-993-3688x1685,AL,high
CUST_00182,2020-04-20,low,725,cthompson@example.org,281-670-3500x43203,FL,middle
CUST_00183,2021-11-12,low,850,lindsay21@example.com,+1-698-645-6435x705,NM,high
CUST_00184,2019-02-24,low,783,ewarren@example.com,001-569-760-7732x11873,DE,low
CUST_00185,2020-07-02,high,476,leahtodd@example.org,427.525.8163,NJ,middle
CUST_00186,2020-11-13,low,797,robertssandra@example.net,473-613-3458,RI,high
CUST_00187,2019-08-09,medium,771,kathryn22@example.net,(850)419-7869,NH,middle
CUST_00188,2022-10-13,low,720,sreyes@example.org,877.845.9019x577,AK,low
CUST_00189,2019-06-05,medium,649,nancyarmstrong@example.com,743-730-8779x4424,NJ,middle
CUST_00190,2020-07-16,low,739,nbrown@example.net,001-670-967-5721x238,IL,middle
CUST_00191,2020-08-06,high,644,hmurphy@example.net,6808780960,WV,middle
CUST_00192,2022-05-28,medium,806,tiffanyrobertson@example.com,396-352-0821x1305,MD,middle
CUST_00193,2022-08-13,low,706,evincent@example.net,(488)420-2094,IL,middle
CUST_00194,2022-04-07,low,656,nstevens@example.net,+1-836-723-4527x8779,WI,high
CUST_00195,2019-08-04,medium,703,shortronald@example.org,+1-546-639-3145x877,ID,middle
CUST_00196,2019-04-23,low,775,martinezrachel@example.net,+1-251-364-5618x0872,NJ,low
CUST_00197,2022-11-04,low,776,rmcconnell@example.org,+1-957-984-7291x44421,WI,middle
CUST_00198,2020-08-12,medium,774,darrell38@example.org,+1-940-771-1676x6427,OR,low
CUST_00199,2019-10-27,medium,650,cookcurtis@example.org,505-882-2072x252,CA,middle
CUST_00200,2019-05-30,low,708,andrea82@example.com,(612)430-9414x65447,WA,low
CUST_00201,2021-02-11,low,622,juliecastillo@example.com,(794)887-1490x7426,AR,middle
CUST_00202,2021-01-12,low,792,nicholas44@example.org,001-355-274-6830x236,HI,middle
CUST_00203,2019-02-28,low,832,mstrickland@example.com,+1-651-394-9472x504,SC,low
CUST_00204,2022-04-08,medium,664,usnyder@example.com,(973)872-6289x742,MA,low
CUST_00205,2021-11-22,low,783,hughesjennifer@example.net,001-305-641-6761,UT,middle
CUST_00206,2022-09-16,low,763,flynnjonathan@example.org,001-836-418-5585x7441,CT,middle
CUST_00207,2020-04-15,high,488,williamsamy@example.org,+1-752-869-9673,NV,low
CUST_00208,2019-04-29,low,711,lisasmith@example.net,001-230-817-6921,GA,low
CUST_00209,2021-06-08,medium,766,woodwardamanda@example.com,001-811-531-8294x736,AR,middle
CUST_00210,2022-06-05,medium,565,bauergina@example.com,001-292-445-5120x494,FL,low
CUST_00211,2020-09-05,high,472,jamie81@example.org,001-612-957-3280x11023,ID,low
CUST_00212,2022-05-15,medium,654,brittany57@example.com,(854)505-3386x33827,TN,middle
CUST_00213,2021-06-27,low,753,maxwellkelly@example.net,754.926.3199,AZ,middle
CUST_00214,2019-02-11,medium,587,dmorrow@example.net,+1-922-697-6626x28270,DE,low
CUST_00215,2022-10-30,low,688,wellsnicole@example.net,001-462-664-1591x6963,MS,middle
CUST_00216,2020-12-26,low,807,claudia16@example.com,001-693-271-6545,HI,low
CUST_00217,2021-07-29,medium,835,csmall@example.net,7275563056,HI,middle
CUST_00218,2020-12-31,medium,517,wallacedarrell@example.net,769.482.7376,SC,low
CUST_00219,2019-08-08,medium,631,matthewwilliams@example.org,+1-281-700-1285,AL,low
CUST_00220,2019-08-14,medium,616,cprice@example.org,+1-927-546-8050x432,CO,low
CUST_00221,2022-02-24,low,749,bautistaamanda@example.org,+1-548-352-8097,OH,middle
CUST_00222,2021-09-29,low,808,williamsjustin@example.com,(344)538-3107,CT,low
CUST_00223,2022-05-10,high,375,bobbybrown@example.org,736-551-1021x9634,TN,middle
CUST_00224,2020-09-19,medium,641,chungsusan@example.net,001-650-372-3988x25030,OR,middle
CUST_00225,2021-04-07,low,732,morgankenneth@example.org,857.373.5782,MD,middle
CUST_00226,2020-11-21,low,641,jerome91@example.com,(530)553-2485,LA,middle
CUST_00227,2021-09-03,high,597,ambercrane@example.net,915.267.3802x958,IL,middle
CUST_00228,2021-07-17,low,781,kathy36@example.org,861.240.3985,AZ,middle
CUST_00229,2019-12-04,medium,637,gravesdwayne@example.net,001-755-385-4851x766,AZ,middle
CUST_00230,2021-09-25,low,715,fernandezzoe@example.net,+1-531-467-8805x89942,ME,low
CUST_00231,2019-06-25,medium,749,qhamilton@example.net,9505799290,CO,middle
CUST_00232,2019-11-08,low,735,fwalker@example.net,+1-557-221-8955,NE,middle
CUST_00233,2019-07-03,high,463,cjimenez@example.org,269-697-3669x026,OK,high
CUST_00234,2022-05-06,low,850,nicoledaniels@example.org,5866457918,NE,middle
CUST_00235,2020-04-17,medium,630,cwhite@example.com,861.944.4297x947,NH,middle
CUST_00236,2022-05-08,medium,603,heather48@example.org,+1-790-947-9071,MO,middle
CUST_00237,2019-10-20,low,718,ethangoodwin@example.com,312-664-9699x536,IN,middle
CUST_00238,2022-01-12,low,739,tracy36@example.com,(359)272-3111,CA,middle
CUST_00239,2022-09-29,low,760,parsonsrobin@example.net,321-215-3508,VA,high
CUST_00240,2022-11-25,low,830,kingallison@example.com,418-415-3089,WI,middle
CUST_00241,2019-03-21,low,799,willie83@example.net,780-457-1020,IL,middle
CUST_00242,2019-05-03,low,734,vturner@example.net,(229)873-3933,SD,middle
CUST_00243,2019-10-03,low,703,mcdonalddaniel@example.com,622-756-4813,SC,low
CUST_00244,2021-08-28,low,775,sclark@example.org,+1-714-852-1545,UT,low
CUST_00245,2022-07-22,medium,561,kelly43@example.net,809.964.0682x5864,ID,low
CUST_00246,2020-11-05,medium,621,andrew46@example.org,+1-594-278-2103x615,ME,middle
CUST_00247,2020-11-09,medium,756,justin53@example.net,001-677-964-9230x8986,TN,high
CUST_00248,2020-12-15,medium,678,iharper@example.org,(279)914-1933,TX,middle
CUST_00249,2022-02-03,low,733,dawncoleman@example.com,722-834-6430,NH,low
CUST_00250,2021-12-19,low,655,henryturner@example.com,(264)956-1323x698,LA,high
CUST_00251,2021-05-12,low,703,danielwhite@example.com,526.624.1409,MN,middle
CUST_00252,2022-09-09,low,686,lisajones@example.org,001-663-471-4940,MD,middle
CUST_00253,2020-12-16,high,614,kathryn37@example.org,423-641-1767,GA,high
CUST_00254,2021-07-05,medium,611,qcooley@example.org,539-988-4201x32914,NH,high
CUST_00255,2022-10-08,low,671,anthony28@example.org,+1-382-260-0241x914,WA,middle
CUST_00256,2022-05-03,medium,658,ricky27@example.com,604.423.5948,CA,high
CUST_00257,2021-08-17,medium,815,gloria10@example.org,384-670-3203x09524,GA,low
CUST_00258,2022-11-22,low,679,courtneyyoung@example.org,(334)582-1433x27312,UT,high
CUST_00259,2022-09-13,medium,649,gdaniels@example.org,375-324-1892x93848,WI,middle
CUST_00260,2022-05-10,low,668,opalmer@example.org,882-447-5179x164,DE,middle
CUST_00261,2019-11-08,low,793,edwardmiller@example.com,+1-938-872-0905x8020,AK,low
CUST_00262,2019-05-06,low,684,aguilardarrell@example.org,(380)976-4621x285,MS,high
CUST_00263,2019-05-20,medium,764,michaelyoung@example.net,(335)356-7603x048,ME,middle
CUST_00264,2019-05-10,low,775,walkerjamie@example.org,001-872-287-2434x60018,VA,high
CUST_00265,2021-12-15,low,744,dalemccarthy@example.org,447.850.5940,MA,high
CUST_00266,2020-02-19,low,682,qtorres@example.com,473-537-5671x0827,IL,high
CUST_00267,2020-06-17,low,735,pjohnson@example.net,247-262-6216x0675,IL,low
CUST_00268,2022-12-15,low,699,stephanie89@example.net,969.632.2347,VA,middle
CUST_00269,2022-05-08,low,737,russellscott@example.com,+1-834-416-7964x1970,IA,low
CUST_00270,2022-03-16,low,850,kleinsara@example.com,6069270230,CT,middle
CUST_00271,2021-04-25,medium,620,usims@example.net,(733)701-5868x870,MS,middle
CUST_00272,2022-05-07,high,635,caseybarber@example.com,953.723.0448,CA,middle
CUST_00273,2021-10-08,medium,661,evansadam@example.com,001-805-244-3259,NC,low
CUST_00274,2022-05-25,high,658,dhebert@example.org,(801)226-6331,CA,low
CUST_00275,2022-01-04,medium,632,edwardsnatalie@example.net,001-526-620-4394x95986,NE,low
CUST_00276,2019-12-02,low,720,kennethbrown@example.com,8778724012,GA,high
CUST_00277,2021-01-02,low,745,allison86@example.com,7229791521,UT,low
CUST_00278,2021-06-17,medium,639,bradley88@example.net,368-389-4405,NV,middle
CUST_00279,2020-06-12,medium,634,josephcamacho@example.com,8596773276,LA,low
CUST_00280,2022-03-21,medium,668,shannon18@example.net,001-433-365-8168x23543,NE,low
CUST_00281,2019-11-07,low,766,aaron81@example.org,(866)271-0898,CA,high
CUST_00282,2022-06-18,low,723,clynn@example.org,878-392-9133x70380,HI,high
CUST_00283,2021-01-19,low,789,allisonlowe@example.com,971-713-2037x10351,MT,middle
CUST_00284,2019-03-16,low,722,odomcarol@example.net,600.933.3858x721,VA,high
CUST_00285,2019-01-10,high,568,haley36@example.net,+1-296-995-0782,IA,middle
CUST_00286,2021-08-13,low,660,rebeccamaxwell@example.com,435.405.6342,SD,low
CUST_00287,2019-10-03,low,682,michaelgallagher@example.org,+1-676-747-4459x537,VA,high
CUST_00288,2019-06-22,low,741,ocruz@example.org,001-914-672-3898x92845,AL,high
CUST_00289,2021-07-29,medium,672,gmiller@example.com,(695)958-6039,MD,middle
CUST_00290,2020-04-08,medium,629,kennethdelacruz@example.com,+1-255-323-5208x6465,AR,high
CUST_00291,2019-05-19,low,721,murphybob@example.com,805.583.9138x22776,NH,low
CUST_00292,2019-05-19,medium,528,jyoung@example.org,9143108652,MS,high
CUST_00293,2019-05-07,medium,641,destinyrichardson@example.net,965.922.7548,MT,low
CUST_00294,2020-11-25,medium,675,mhayes@example.com,939-393-4050,OH,low
CUST_00295,2021-03-19,low,695,dwhite@example.org,+1-397-402-3554x295,IA,middle
CUST_00296,2021-07-10,medium,696,turnerdaniel@example.com,559.510.0389,KS,middle
CUST_00297,2021-05-22,medium,636,charlesanthony@example.org,+1-863-933-9153,AR,high
CUST_00298,2019-05-30,medium,683,cpowell@example.net,4282695983,KY,low
CUST_00299,2020-06-10,low,708,penasandra@example.net,380.933.3493x08917,IN,middle
CUST_00300,2020-06-07,high,506,leesullivan@example.com,(949)700-8952x798,OK,low
CUST_00301,2019-04-01,low,684,patrickriddle@example.com,001-267-684-1456x9242,ND,middle
CUST_00302,2020-11-02,low,705,scottmichael@example.org,321.885.1097x5670,SD,middle
CUST_00303,2022-01-12,low,690,andrew38@example.org,(685)365-9867,LA,middle
CUST_00304,2021-08-14,medium,731,jessica31@example.org,(558)252-9938,OH,middle
CUST_00305,2021-03-22,medium,428,heather01@example.org,432.978.2081x096,SD,low
CUST_00306,2020-01-02,low,758,lfox@example.org,212-756-2070,CT,middle
CUST_00307,2020-02-26,low,705,hthompson@example.com,(622)254-2346,FL,middle
CUST_00308,2019-12-12,medium,780,sandrawarren@example.com,(863)960-4713x84446,PA,low
CUST_00309,2020-05-21,low,830,gcosta@example.net,6259883921,CA,middle
CUST_00310,2022-10-29,high,458,smithpaula@example.net,+1-929-459-8795x4536,DE,middle
CUST_00311,2021-11-06,low,750,jessica96@example.com,+1-296-519-8207x40951,ID,low
CUST_00312,2019-07-29,medium,658,userrano@example.net,223.610.4600x90100,NJ,middle
CUST_00313,2019-05-11,low,759,richardskatie@example.com,304.514.9385,MN,middle
CUST_00314,2021-04-06,medium,571,cwoods@example.com,(858)925-4688x60403,IN,low
CUST_00315,2022-11-03,low,755,brennanjames@example.com,623-401-9085x02435,NJ,middle
CUST_00316,2022-01-25,low,742,david09@example.com,(459)808-7232x856,AK,middle
CUST_00317,2019-07-01,low,743,tiffany02@example.net,+1-404-359-9310x85681,DE,middle
CUST_00318,2020-02-03,low,684,lewisjeremy@example.com,763-225-9462x56083,MT,middle
CUST_00319,2019-04-06,low,850,lauraroberts@example.org,858-275-8063x8782,RI,middle
